Timestamp            Max Diff (ms) Port 50038      Port 50039      Port 50040      Port 50041      Port 50042      Port 50043      Port 50044      Port 50045      Port 50046      Port 50047      Port 50048      Port 50049     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17:14:02.422         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:02.442         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:02.463         1.0          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.474         1.0          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.490         1.0          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms         
17:14:02.512         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:02.531         1.0          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.551         1.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.574         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:02.600         1.0          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.623         3.0          +0.0ms          +2.0ms          +0.0ms          +2.0ms          +2.0ms          +0.0ms          +3.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms         
17:14:02.652         1.0          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
